t I O O_a
518 0.980887986341482 0.29275 0.260504085672468
519 0.98088810196425 0.292729131274131 0.26653354680998
520 0.980888210948057 0.30356 0.272614384939645
521 0.980888313674105 0.303537192307692 0.278744538855994
522 0.980888410501709 0.31542 0.284923412025485
523 0.98088850176955 0.315398716475096 0.291150122538503
524 0.980888587796866 0.32653 0.297421026229527
525 0.980888668884562 0.326511374045801 0.303734024602219
526 0.980888745316266 0.33629 0.310086969741032
527 0.980888817359322 0.336271178707224 0.316477664311208
528 0.98088888526572 0.34619 0.322903861558781
529 0.980888949272985 0.346169242424242 0.329363265310574
530 0.980889009605001 0.35715 0.3358535299742
531 0.980889066472798 0.357129320754717 0.342372260538064
532 0.980889120075288 0.36811 0.348918297325475
533 0.980889170599963 0.368087142857143 0.355491829325087
534 0.980889218223548 0.38027 0.362088111632384
535 0.980889263112621 0.3802534082397 0.368704812790812
536 0.980889305424196 0.38913 0.37533956727884
537 0.98088934530627 0.389108432835821 0.381989975509958
538 0.980889382898344 0.40069 0.388653603832675
539 0.980889418331908 0.400669628252788 0.395327984530528
540 0.980889451730901 0.41165 0.40201061582207
541 0.980889483212147 0.411624148148148 0.408698961860882
542 0.980889512885762 0.42561 0.41539167886839
543 0.980889540855539 0.425588948339483 0.422092809098476
544 0.98088956721931 0.43702 0.428794975476831
545 0.980889592069292 0.437000680147059 0.435495974964321
546 0.980889615492405 0.44753 0.442193598255176
547 0.980889637570578 0.44750663003663 0.448885629776981
548 0.980889658381038 0.46029 0.455569847690683
549 0.980889677996575 0.460266167883212 0.46224402389059
550 0.980889696485801 0.47335 0.468905924004367
551 0.980889713913389 0.473327890909091 0.475553307393041
552 0.980889730340295 0.48551 0.482184231193621
553 0.98088974582398 0.485487427536232 0.488809920973082
554 0.980889760418602 0.49797 0.495417935519411
555 0.98088977417521 0.497954819494585 0.5020064084456
556 0.980889787141923 0.50638 0.508573484712527
557 0.980889799364096 0.506358669064748 0.515117320628955
558 0.98088981088448 0.51824 0.521636083851536
559 0.980889821743371 0.518218476702509 0.528127953384805
560 0.980889831978752 0.53025 0.534591119581188
561 0.980889841626423 0.530226142857143 0.541023784140994
562 0.980889850720132 0.54361 0.547424160112422
563 0.980889859291686 0.543587829181495 0.553790471891554
564 0.980889867371066 0.55607 0.560120955222363
565 0.980889874986534 0.556051631205674 0.566413857196705
566 0.980889882164727 0.56643 0.572667436254327
567 0.980889888930753 0.566409310954064 0.578892217874487
568 0.980889895308278 0.57814 0.585078460090024
569 0.980889901319609 0.578116742957747 0.591223993061374
570 0.980889906985774 0.59135 0.597327515864154
571 0.980889912326591 0.591328666666667 0.6033877556887
572 0.980889917360742 0.60351 0.60940346784006
573 0.980889922105836 0.603488216783217 0.615373435738001
574 0.980889926578469 0.61597 0.621296470917003
575 0.980889930794286 0.61595456445993 0.627171413026262
576 0.980889934768034 0.62483 0.632997129829692
577 0.980889938513612 0.624805503472222 0.63877251720592
578 0.980889942044121 0.63894 0.64449649914829
579 0.98088994537191 0.638926228373702 0.650168027764861
580 0.98088994850862 0.6469 0.655786083278409
581 0.980889951465222 0.646879551724138 0.661355027343907
582 0.980889954252059 0.65876 0.666871158638125
583 0.980889956878876 0.658738848797251 0.672332768832769
584 0.980889959354863 0.67107 0.677739144910932
585 0.980889961688681 0.671053544520548 0.683089610246976
586 0.980889963888493 0.68068 0.688383524606523
587 0.980889965961992 0.680663344709898 0.693620284146465
588 0.980889967916433 0.69044 0.698799321414954
589 0.980889969758651 0.690425459183674 0.703920105351412
590 0.98088997149509 0.69899 0.708982141286523
591 0.980889973131824 0.698968101694915 0.713984970942236
592 0.980889974674577 0.71191 0.718928172431767
593 0.980889976128747 0.711895050675676 0.723811360259596
594 0.980889977499419 0.72076 0.728634185321468
595 0.980889978791388 0.720740033670034 0.733398510434071
596 0.980889980009173 0.73262 0.738103340162607
597 0.980889981157034 0.73260211409396 0.742747827556678
598 0.980889982238985 0.74328 0.747331859172464
599 0.980889983258811 0.743267190635452 0.751855361811051
600 0.980889984220079 0.75094 0.756318302518428
601 0.980889985126152 0.750927 0.760720688585491
602 0.980889985980199 0.75874 0.765062567548039
603 0.980889986785207 0.758724534883721 0.769344027186778
604 0.980889987543992 0.76805 0.773565195527318
605 0.980889988259208 0.768036572847682 0.777726240840171
606 0.980889988933357 0.77616 0.781827371640759
607 0.980889989568797 0.776146864686469 0.785868836689404
608 0.98088999016775 0.78412 0.789850924991337
609 0.980889990732311 0.784106430921053 0.793772594200018
610 0.980889991264456 0.79237 0.79763434393274
611 0.980889991766045 0.792361868852459 0.801437207208324
612 0.980889992238834 0.79733 0.805181568049627
613 0.980889992684475 0.797316274509804 0.808867847891289
614 0.980889993104528 0.80573 0.812496505579733
615 0.980889993500462 0.805716302931596 0.816068037373164
616 0.980889993873661 0.81414 0.819582976941574
617 0.980889994225431 0.814126103896104 0.823041895366736
618 0.980889994557003 0.8227 0.826445401142207
619 0.980889994869537 0.822688818770227 0.829794140173327
620 0.980889995164125 0.82961 0.833088795777221
621 0.980889995441798 0.829598629032258 0.836330088682795
622 0.980889995703527 0.83666 0.839518777030741
623 0.980889995950228 0.836648649517685 0.842649908491791
624 0.980889996182763 0.84372 0.845723022284429
625 0.980889996401946 0.843711346153846 0.848742969063048
626 0.980889996608544 0.84912 0.851710328009889
627 0.980889996803279 0.849111357827476 0.854625701546143
628 0.980889996986833 0.85453 0.85748971533195
629 0.980889997159847 0.854524267515924 0.8603030182664
630 0.980889997322927 0.85813 0.863066282487534
631 0.980889997476643 0.85811546031746 0.865780203372343
632 0.980889997621533 0.86729 0.868445499536765
633 0.980889997758102 0.867284066455696 0.871062912835692
634 0.980889997886831 0.87104 0.873633208362961
635 0.980889998008168 0.871031230283912 0.876157174451364
636 0.980889998122538 0.8766 0.87863562267264
637 0.98088999823034 0.876594103773585 0.881061809874595
638 0.980889998331953 0.88035 0.883432260009418
639 0.980889998427731 0.880338009404389 0.885756208706788
640 0.98088999851801 0.888 0.888034270737458
641 0.980889998603105 0.887994125 0.890267074608689
642 0.980889998683314 0.89176 0.892455262564257
643 0.980889998758917 0.891753925233645 0.894599490584449
644 0.980889998830179 0.89566 0.896700428386066
645 0.980889998897349 0.895651133540373 0.89875875942242
646 0.980889998960663 0.90137 0.900775180883334
647 0.980889999020341 0.901363962848297 0.902750403695147
648 0.980889999076592 0.90527 0.904685152520707
649 0.980889999129614 0.90526375 0.906580165759375
650 0.980889999179591 0.90932 0.908436195547028
651 0.980889999226698 0.909313984615385 0.910254007756049
652 0.980889999271101 0.91323 0.912034381995339
653 0.980889999312954 0.913224018404908 0.913778111610307
654 0.980889999352404 0.91713 0.915486003682879
655 0.980889999389588 0.91712380733945 0.91715887903149
656 0.980889999424638 0.92118 0.918791691098927
657 0.980889999457675 0.921177027439024 0.920380754104221
658 0.980889999488814 0.92313 0.921934361163879
659 0.980889999518166 0.923123829787234 0.923453144624569
660 0.980889999545833 0.92719 0.924937742578062
661 0.980889999571911 0.927183863636364 0.926388798861238
662 0.980889999596492 0.93124 0.927806963056079
663 0.980889999619661 0.931236827794562 0.929192890489676
664 0.9808899996415 0.93334 0.930547242234221
665 0.980889999662085 0.933336822289157 0.931870685107014
666 0.980889999681487 0.93545 0.933163891670461
667 0.980889999699776 0.935440765765766 0.93442754023207
668 0.980889999717015 0.9416 0.935662314844458
669 0.980889999733264 0.9416 0.936868905305344
670 0.98088999974858 0.9416 0.938048007157555
671 0.980889999763016 0.941593955223881 0.939200321689023
672 0.980889999776623 0.94565 0.940326555932783
673 0.98088999978945 0.94565 0.941427422666977
674 0.980889999801539 0.94565 0.942503640414853
675 0.980889999812935 0.945646869436202 0.943552049388905
676 0.980889999823676 0.94776 0.944569477344846
677 0.9808899998338 0.947753786982249 0.94556230258071
678 0.980889999843343 0.95196 0.946531091455273
679 0.980889999852339 0.95196 0.947476410316186
680 0.980889999860817 0.95196 0.94839882549997
681 0.980889999868809 0.951956911764706 0.949298903332018
682 0.980889999876342 0.95406 0.950177210126597
683 0.980889999883442 0.954056920821114 0.951034312186846
684 0.980889999890135 0.95616 0.951870775804775
685 0.980889999896443 0.956156929824562 0.952687167261269
686 0.98088999990239 0.95826 0.953484052826084
687 0.980889999907994 0.958256705539359 0.954261998757846
688 0.980889999913277 0.96052 0.955021571304059
689 0.980889999918257 0.960516947674419 0.955763336701093
690 0.980889999922951 0.96262 0.956487861174196
691 0.980889999927375 0.96262 0.957195710937484
692 0.980889999931544 0.96262 0.957887452193949
693 0.980889999935475 0.962616965317919 0.958563651135453
694 0.98088999993918 0.96472 0.9592210943865
695 0.980889999942672 0.964716974063401 0.959855498631744
696 0.980889999945964 0.96682 0.960473772452403
697 0.980889999949067 0.966823017241379 0.961076294887853
698 0.980889999951991 0.96472 0.961663438810267
699 0.980889999954748 0.96472 0.962235570924624
700 0.980889999957347 0.96472 0.962793051768698
701 0.980889999959796 0.964717 0.963336235713067
702 0.980889999962104 0.96682 0.963865470961108
703 0.98088999996428 0.966816794871795 0.964381099548998
704 0.980889999966331 0.96907 0.964883457345716
705 0.980889999968264 0.969067002840909 0.96537287405304
706 0.980889999970086 0.97118 0.965849673205549
707 0.980889999971804 0.97118 0.966314172170621
708 0.980889999973423 0.97118 0.966766682148437
709 0.980889999974949 0.97118 0.967207508171976
710 0.980889999976388 0.97118 0.96763694910702
711 0.980889999977743 0.97118 0.968055297652148
712 0.980889999979021 0.97118 0.968462840338743
713 0.980889999980226 0.971182963483146 0.968858829499633
714 0.980889999981362 0.96907 0.969241873603296
715 0.980889999982432 0.969067044817927 0.969614246412034
716 0.98088999998344 0.97118 0.969976153400555
717 0.980889999984391 0.97118 0.970327792019127
718 0.980889999985287 0.97118 0.97066935169358
719 0.980889999986132 0.97118 0.971001013825302
720 0.980889999986928 0.97118 0.971322951791241
721 0.980889999987679 0.97118 0.971635330943907
722 0.980889999988386 0.97118 0.971938308611368
723 0.980889999989053 0.97118 0.972232034097253
724 0.980889999989682 0.97118 0.972516648680751
725 0.980889999990274 0.97118 0.972792285616611
726 0.980889999990833 0.97118 0.973059070135141
727 0.980889999991359 0.97118 0.97331711944221
728 0.980889999991855 0.97118 0.973566542719248
729 0.980889999992323 0.971176909340659 0.973807441123241
730 0.980889999992764 0.97343 0.974039907786741
731 0.980889999993179 0.97343 0.974264027817855
732 0.980889999993571 0.97343 0.974481761290144
733 0.98088999999394 0.973427131147541 0.974697013334663
734 0.980889999994288 0.97553 0.974905535775855
735 0.980889999994616 0.97553 0.975107497351434
736 0.980889999994925 0.97553 0.97530306259051
737 0.980889999995217 0.975524089673913 0.975492391813597
738 0.980889999995491 0.97988 0.9756756411326
739 0.98088999999575 0.97988 0.975852962450831
740 0.980889999995994 0.97988 0.976024503462992
741 0.980889999996224 0.97988 0.97619040765519
742 0.980889999996441 0.97988 0.976350814304928
743 0.980889999996645 0.979876967654987 0.976505858481107
744 0.980889999996838 0.98213 0.976655671044028
745 0.980889999997019 0.98213 0.976800378645389
746 0.980889999997191 0.98213 0.976940103728287
747 0.980889999997352 0.982126970509383 0.977074964527219
748 0.980889999997504 0.98439 0.977205075068079
749 0.980889999997647 0.984387192513369 0.977330545168161
750 0.980889999997782 0.98649 0.977451480436154
751 0.98088999999791 0.98649 0.977569049243699
752 0.98088999999803 0.98649 0.977685921948159
753 0.980889999998143 0.98649 0.977799165405873
754 0.98088999999825 0.98649 0.977908903894103
755 0.98088999999835 0.98649 0.978015258309313
756 0.980889999998445 0.98649 0.978118346167159
757 0.980889999998534 0.98649 0.978218281602499
758 0.980889999998618 0.98649 0.978315175369386
759 0.980889999998698 0.98649 0.97840913484107
760 0.980889999998773 0.98649 0.97850026401
761 0.980889999998843 0.98649 0.978588663487821
762 0.980889999998909 0.98649 0.978674430505377
763 0.980889999998972 0.98649 0.978757658912707
764 0.980889999999031 0.98649 0.97883843917905
765 0.980889999999087 0.986487054973822 0.978916858392841
766 0.980889999999139 0.98874 0.978993000261711
767 0.980889999999189 0.988737062663185 0.979066945112491
768 0.980889999999235 0.99099 0.979138769891209
769 0.980889999999279 0.9909929296875 0.979208548163088
770 0.98088999999932 0.98874 0.979276350112551
771 0.980889999999359 0.988737077922078 0.979342242543217
772 0.980889999999396 0.99099 0.979406288877903
773 0.980889999999431 0.990992914507772 0.979468549158623
774 0.980889999999464 0.98874 0.97952908004659
775 0.980889999999494 0.988737093023256 0.979587934822211
776 0.980889999999523 0.99099 0.979645163385092
777 0.980889999999551 0.99099 0.979700812254039
778 0.980889999999577 0.99099 0.979754924567051
779 0.980889999999601 0.99099 0.979807528114977
780 0.980889999999624 0.99099 0.979858666792907
781 0.980889999999646 0.99099 0.97990837598428
782 0.980889999999666 0.99099 0.979956685187043
783 0.980889999999685 0.99099 0.980003620515647
784 0.980889999999703 0.99099 0.980049204701055
785 0.98088999999972 0.99099 0.98009345709074
786 0.980889999999736 0.99099 0.980136393648679
787 0.980889999999751 0.99099 0.980178026955363
788 0.980889999999766 0.99099 0.980218366207789
789 0.980889999999779 0.990987144670051 0.980257417219463
790 0.980889999999792 0.99324 0.980295182420398
791 0.980889999999804 0.993242848101266 0.980331660857122
792 0.980889999999815 0.99099 0.980366848192664
793 0.980889999999826 0.990987159090909 0.980400736706567
794 0.980889999999836 0.99324 0.980433315294882
795 0.980889999999845 0.99324 0.980464569470166
796 0.980889999999854 0.99324 0.980494481361489
797 0.980889999999862 0.993242826633166 0.980523029714426
798 0.98088999999987 0.99099 0.980550189891063
799 0.980889999999878 0.990987180451128 0.980575933869995
800 0.980889999999885 0.99324 0.980600230246324
801 0.980889999999891 0.99324 0.980623044231662
802 0.980889999999898 0.99324 0.98064433765413
803 0.980889999999903 0.99324 0.980664068958357
804 0.980889999999909 0.99324 0.980682193205481
805 0.980889999999914 0.993242798507463 0.98069866207315
806 0.980889999999919 0.99099 0.980716269639784
807 0.980889999999924 0.990987208436725 0.980737270879792
808 0.980889999999928 0.99324 0.980757484955721
809 0.980889999999932 0.99324 0.980776909480803
810 0.980889999999936 0.99324 0.980795540066778
811 0.98088999999994 0.993242777777778 0.98081337032389
812 0.980889999999943 0.99099 0.98083039186089
813 0.980889999999947 0.99098722906404 0.980846594285036
814 0.98088999999995 0.99324 0.980861965202092
815 0.980889999999952 0.993237223587224 0.980876490216329
816 0.980889999999955 0.9955 0.980890152930523
817 0.980889999999958 0.9955 0.980902934945956
818 0.98088999999996 0.9955 0.980914815862418
819 0.980889999999963 0.9955 0.980925773278205
820 0.980889999999965 0.9955 0.980935782790118
821 0.980889999999967 0.9955 0.980944817993464
822 0.980889999999969 0.9955 0.980952850482059
823 0.98088999999997 0.9955 0.980959849848222
824 0.980889999999972 0.9955 0.980965783682782
825 0.980889999999974 0.9955 0.98097061757507
826 0.980889999999975 0.9955 0.980974315112927
827 0.980889999999977 0.9955 0.980976837882698
828 0.980889999999978 0.9955 0.980978145469235
829 0.980889999999979 0.995502729468599 0.980978195455898
830 0.98088999999998 0.99324 0.980976943424549
831 0.980889999999982 0.993237277108434 0.980974342955561
832 0.980889999999983 0.9955 0.980970345627811
833 0.980889999999984 0.9955 0.980964901018681
834 0.980889999999985 0.9955 0.980967076796581
835 0.980889999999986 0.995497302158273 0.980969309452917
836 0.980889999999986 0.99775 0.980971265640813
837 0.980889999999987 0.99775269138756 0.9809729622536
838 0.980889999999988 0.9955 0.980974415910554
839 0.980889999999989 0.9955 0.980975642956898
840 0.980889999999989 0.9955 0.980976659463803
841 0.98088999999999 0.9955 0.980977481228388
842 0.98088999999999 0.9955 0.980978123773717
843 0.980889999999991 0.995497327790974 0.980978602348805
844 0.980889999999992 0.99775 0.980978931928611
845 0.980889999999992 0.997752665876777 0.980979127214042
846 0.980889999999993 0.9955 0.980979202631954
847 0.980889999999993 0.9955 0.980979172335148
848 0.980889999999993 0.9955 0.980979050202375
849 0.980889999999994 0.9955 0.980978849838331
850 0.980889999999994 0.9955 0.980978584573659
851 0.980889999999995 0.9955 0.980978267464952
852 0.980889999999995 0.9955 0.980977911294747
853 0.980889999999995 0.99549735915493 0.980977528571532
854 0.980889999999995 0.99775 0.980977131529739
855 0.980889999999996 0.997752634660422 0.980976732129749
856 0.980889999999996 0.9955 0.980976342057888
857 0.980889999999996 0.9955 0.980975972726435
858 0.980889999999996 0.9955 0.98097563527361
859 0.980889999999997 0.9955 0.980975340563582
860 0.980889999999997 0.9955 0.980975099186471
861 0.980889999999997 0.9955 0.980974720028915
862 0.980889999999997 0.9955 0.980974198502321
863 0.980889999999997 0.995497389791183 0.980973707035789
864 0.980889999999997 0.99775 0.980973252065221
865 0.980889999999997 0.99775 0.980972839681641
866 0.980889999999998 0.99775 0.980972475631189
867 0.980889999999998 0.99775 0.980972165315126
868 0.980889999999998 0.99775 0.980971913789829
869 0.980889999999998 0.99775 0.980971725766798
870 0.980889999999998 0.99775 0.980971605612647
871 0.980889999999998 0.997752586206897 0.980971557349112
872 0.980889999999998 0.9955 0.980971584653048
