T,I,O
259,0.173483,0.001725
260,0.179412,0.00195
261,0.185496,0.001725
262,0.191738,0.0015
263,0.198137,0.0015
264,0.204694,0.0015
265,0.21141,0.001275
266,0.218284,0.00105
267,0.225316,0.00105
268,0.232506,0.00105
269,0.239852,0.001275
270,0.247354,0.0015
271,0.255009,0.0015
272,0.262817,0.0015
273,0.270774,0.0015
274,0.278879,0.0015
275,0.287129,0.001275
276,0.295519,0.00105
277,0.304048,0.001275
278,0.31271,0.0015
279,0.321502,0.001275
280,0.330419,0.00105
281,0.339456,0.00105
282,0.348607,0.00105
283,0.357868,0.001275
284,0.367232,0.0015
285,0.376692,0.001275
286,0.386243,0.00105
287,0.395878,0.00105
288,0.405588,0.00105
289,0.415368,0.00105
290,0.42521,0.00105
291,0.435105,0.00105
292,0.445046,0.00105
293,0.455025,0.001275
294,0.465033,0.0015
295,0.475063,0.0015
296,0.485106,0.0015
297,0.495153,0.0015
298,0.505196,0.0015
299,0.515227,0.001275
300,0.525237,0.00105
301,0.535218,0.001275
302,0.545161,0.0015
303,0.55506,0.001275
304,0.564905,0.00105
305,0.574689,0.00105
306,0.584405,0.00105
307,0.594044,0.00105
308,0.6036,0.00105
309,0.613067,0.001275
310,0.622437,0.0015
311,0.631705,0.0015
312,0.640863,0.0015
313,0.649907,0.0015
314,0.658832,0.0015
315,0.667632,0.001275
316,0.676303,0.00105
317,0.68484,0.001275
318,0.69324,0.0015
319,0.701498,0.001275
320,0.709612,0.00105
321,0.717579,0.001275
322,0.725397,0.0015
323,0.733062,0.0015
324,0.740573,0.0015
325,0.74793,0.0015
326,0.755129,0.0015
327,0.762172,0.0015
328,0.769056,0.0015
329,0.775782,0.001275
330,0.782349,0.00105
331,0.788758,0.0015
332,0.79501,0.00195
333,0.801104,0.00195
334,0.807043,0.00195
335,0.812826,0.0015
336,0.818456,0.00105
337,0.823933,0.00105
338,0.82926,0.00105
339,0.834438,0.0015
340,0.83947,0.00195
341,0.844357,0.00195
342,0.849102,0.00195
343,0.853706,0.0015
344,0.858173,0.00105
345,0.862505,0.001275
346,0.866705,0.0015
347,0.870774,0.001275
348,0.874716,0.00105
349,0.878534,0.00105
350,0.88223,0.00105
351,0.885806,0.001275
352,0.889267,0.0015
353,0.892614,0.0015
354,0.895851,0.0015
355,0.89898,0.0015
356,0.902003,0.0015
357,0.904925,0.001725
358,0.907747,0.00195
359,0.910473,0.001725
360,0.913104,0.0015
361,0.915645,0.0015
362,0.918096,0.0015
363,0.920462,0.0015
364,0.922744,0.0015
365,0.924945,0.001275
366,0.927068,0.00105
367,0.929114,0.00105
368,0.931087,0.00105
369,0.932989,0.001275
370,0.934822,0.0015
371,0.936588,0.0015
372,0.938289,0.0015
373,0.939928,0.0015
374,0.941506,0.0015
375,0.943026,0.001275
376,0.94449,0.00105
377,0.945899,0.001275
378,0.947256,0.0015
379,0.948561,0.001275
380,0.949818,0.00105
381,0.951027,0.0015
382,0.952191,0.00195
383,0.953311,0.0024749999999999998
384,0.954388,0.003
385,0.955424,0.003
386,0.956421,0.003
387,0.95738,0.003
388,0.958302,0.003
389,0.959189,0.0027
390,0.960042,0.0024
391,0.960861,0.0029249999999999996
392,0.96165,0.00345
393,0.962408,0.00345
394,0.963136,0.00345
395,0.963836,0.0039
396,0.96451,0.00435
397,0.965157,0.00435
398,0.965779,0.00435
399,0.966376,0.004875
400,0.966951,0.0054
401,0.967503,0.0054
402,0.968033,0.0054
403,0.968543,0.005625
404,0.969032,0.00585
405,0.969503,0.005625
406,0.969955,0.0054
407,0.970389,0.005625
408,0.970806,0.00585
409,0.971207,0.006605
410,0.971592,0.00736
411,0.971962,0.007585
412,0.972317,0.00781
413,0.972659,0.008110000000000001
414,0.972986,0.00841
415,0.973301,0.00886
416,0.973604,0.00931
417,0.973894,0.00931
418,0.974173,0.00931
419,0.974441,0.009835
420,0.974698,0.01036
421,0.974945,0.011859999999999999
422,0.975182,0.01336
423,0.97541,0.01336
424,0.975629,0.01336
